"Trait","Var_Genotype","Var_Replicate","Var_Residual","H2"
"side_area",17385430692.9252,30374421177.8612,10815409698.5432,0.2968
"side_convex_hull_area",346097274513.131,756143259496.915,238296125546.477,0.2582
"side_solidity",0.00145582458216814,0.000697752467272671,0.000827294940864094,0.4884
"side_perimeter",23474189.98677,53549015.0605766,16402922.4193635,0.2513
"side_width",23258.7810746311,46939.4594133744,26247.1680759007,0.2412
"side_height",149086.609472263,330160.567971419,69231.9275556115,0.2718
"side_longest_path",6507449.67895682,14830917.8036809,3443764.50063427,0.2626
"side_center_of_mass_x",125.48660133872,23684.3410164502,4223.57707046909,0.0045
"side_center_of_mass_y",56643.5273356151,121189.034559135,20889.0166907025,0.285
"side_convex_hull_vertices",4.54729206565892,6.84536610489377,13.7393045618216,0.1809
"side_ellipse_center_x",727.769368049659,71393.3357612289,241975.651231838,0.0023
"side_ellipse_center_y",66007.0966474068,410732.253719483,1542087.75512946,0.0327
"side_ellipse_major_axis",56540.569939633,1770412.18329812,7026261.4983732,0.0064
"side_ellipse_minor_axis",13105.6043881509,32200.0555053074,35885.9024623406,0.1614
"side_ellipse_angle",8.64122422178624e-06,2901.83618540487,2297.49111249326,0
"side_ellipse_eccentricity",0.00133796540171456,0.00466313116985832,0.00385927016827743,0.1357
"side_blue_mean",19.1108979403029,32.6397482670422,27.7892763429914,0.2403
"side_blue_var",5.28429753645103e-32,1.05613383182326e-29,5.3883166118711e-29,8e-04
"side_blue_min",0.308151169327989,0.702089066563569,1.74901611167024,0.1117
"side_blue_max",47.0048293680782,192.813808504235,232.707707723632,0.0995
"side_green_mean",14.8517378028455,31.7089175692103,24.2842042525734,0.2096
"side_green_var",0,1.66018298245128e-29,7.67101093530003e-29,0
"side_green_min",3.09209143444668,14.4287773163319,10.7876321062993,0.1092
"side_green_max",23.7658651748772,120.533877639094,99.2440817211035,0.0976
"side_red_mean",17.9827276703107,46.0204170886263,34.1486074925121,0.1832
"side_red_var",1.2551608730489e-38,1.51631941948078e-29,7.47778956238032e-29,0
"side_red_min",5.14199595053884,16.7699178528004,15.1629118059966,0.1387
