"Trait","Var_Genotype","Var_Replicate","Var_Residual","H2"
"side_area",18854870853.3385,33780115341.5474,11606398957.3734,0.2935
"side_convex_hull_area",344580073072.715,770616381720.641,242327815496.42,0.2538
"side_solidity",0.00150914076135984,0.000749176346754904,0.000858266362136937,0.4842
"side_perimeter",17013673.9313539,39639979.5993648,11880374.1917569,0.2483
"side_width",23033.9584538709,48940.3719717697,26840.2136852033,0.2331
"side_height",146839.985784755,329929.375631447,69536.9012998457,0.2688
"side_longest_path",131785.495785664,306023.216352692,70119.2830823677,0.2595
"side_center_of_mass_x",145.032842405993,23451.6149363172,4149.163968982,0.0052
"side_center_of_mass_y",56253.9669549192,119466.599093697,20569.8196912964,0.2866
"side_convex_hull_vertices",4.73825674293255,7.95718187034506,15.7872928947087,0.1664
"side_ellipse_center_x",0,63617.7110862541,171715.091074636,0
"side_ellipse_center_y",49026.9282623526,207636.368689889,500005.283743423,0.0648
"side_ellipse_major_axis",59999.3231851148,776722.778594192,2605123.70360898,0.0174
"side_ellipse_minor_axis",13869.4635249395,29902.1343735086,29720.5738065996,0.1887
"side_ellipse_angle",0,2984.07280793484,2249.94434183988,0
"side_ellipse_eccentricity",0.00122184193240976,0.00459028381753828,0.00369753254547721,0.1285
"side_blue_mean",16.6995848673334,29.0213405403785,24.4489149283846,0.238
"side_blue_var",1.00285951835094e-32,1.00529446055515e-29,5.09641548242877e-29,2e-04
"side_blue_min",0.281827036861541,0.68292473551566,1.66514456131041,0.1072
"side_blue_max",60.3720632674285,125.682132991624,107.118165444489,0.2059
"side_green_mean",14.0260688130971,28.9511644259311,22.0483428327408,0.2157
"side_green_var",0,1.67642500299954e-29,7.67794675672783e-29,0
"side_green_min",6.19268697215757,20.4368612213665,13.0072087000611,0.1562
"side_green_max",27.0688449945477,111.673630255371,86.0134027459854,0.1204
"side_red_mean",16.9726945396303,41.9396018453253,30.6007040712194,0.1896
"side_red_var",0,1.59617328186038e-29,7.39126750629288e-29,0
"side_red_min",4.29122955845583,32.5143477207568,31.2186051054873,0.0631
"side_red_max",22.0639803543546,57.6685821450805,49.2500245011505,0.1711
"side_lightness_mean",2.23113378514513,4.90594009525116,3.64709478024226,0.2069
"side_lightness_var",2.70496282134342e-32,3.37421417065679e-30,1.52707012204301e-29,0.0014
"side_lightness_min",0.546571844310602,2.72121942891669,2.20294888868189,0.0999
"side_lightness_max",3.60856610118793,12.6728873377422,9.99304248296935,0.1373
"side_green_red_mean",0.615775669052363,1.5407136968414,1.28359618980794,0.179
"side_green_red_var",1.51777772288959e-33,1.43467488608844e-31,7.32342303313608e-31,0.0017
"side_green_red_min",0.930869280531368,2.83558740288409,1.98432991401187,0.1619
"side_green_red_max",5.774472566103,8.81688665422133,13.2714842884482,0.2072
"side_blue_yellow_mean",1.20716728309746,1.29697851557859,1.42903376280802,0.3069
"side_blue_yellow_var",0,4.83418185455189e-31,2.47103975331194e-30,0
"side_blue_yellow_min",0.265174354965897,1.91394928261283,1.68312745074029,0.0687
"side_blue_yellow_max",9.06099213265611,9.97922341067681,16.1597031207165,0.2574
"side_hue_mean",6.88516120620872,12.1667087060773,8.57283681669291,0.2492
"side_hue_var",2.6752693551442e-31,1.70337943249671e-29,7.80277402429105e-29,0.0028
"side_hue_max",6.52199089528709e-05,0.00099516019530754,0.00569651014360436,0.0097
"side_saturation_mean",4.59733081104036,4.39000491883358,4.661182181471,0.3368
"side_saturation_var",0,2.07998408556148e-30,1.04602238316013e-29,0
"side_saturation_max",0.120501871119784,0.425266819137058,1.0862946320471,0.0738
"side_value_mean",2.00018471961446,4.66148875004662,3.44091774235162,0.198
"side_value_var",0,3.39091769870352e-30,1.44410289355931e-29,0
"side_value_min",0.349859331822171,1.99019102408111,1.83687739552003,0.0838
"side_value_max",3.20710273302014,8.44508004988051,7.2324204507785,0.1698
"top_area",20568197002.8889,30311022289.3613,17578828796.7736,0.3004
"top_convex_hull_area",58156273318.0668,80186401522.3534,66946308077.6617,0.2833
"top_solidity",0.00165942446787221,0.00147817780517892,0.00208159011769094,0.3179
"top_perimeter",740627.878058075,1032844.54827996,1470013.24352246,0.2283
"top_longest_path",12123.6688020181,23864.4109148805,23547.766175754,0.2036
"top_center_of_mass_x",33.9000483780495,29761.960098859,6300.07119886195,9e-04
"top_center_of_mass_y",0.00249965004505573,45383.427968329,5334.9528880085,0
"top_convex_hull_vertices",5.53451383223741,9.7126535011672,12.1154751124378,0.2023
"top_ellipse_center_x",77.0074191356308,29920.4666863498,7079.09849169417,0.0021
"top_ellipse_center_y",3.53201563519299e-06,44971.5695426415,6005.16923893167,0
"top_ellipse_major_axis",9605.76242328299,18819.0277136811,19351.7068456447,0.2011
"top_ellipse_minor_axis",10641.2968207834,15988.280878378,13827.2834134912,0.263
"top_ellipse_angle",8.93852150940427e-06,873.289708957975,1527.0530962475,0
"top_ellipse_eccentricity",0.00165045191362658,0.00591262225708787,0.0113272545457873,0.0874
