"metric","Var_Genotype","Var_Replicate","Var_Residual","h2","round","n_geno","n_rep"
"side_height",164031.168672675,387998.759504676,48283.8808322632,0.2732,1,10,2
"side_width",13305.3514074732,30913.006936106,17061.2357934137,0.2171,1,10,2
"side_solidity",0.00211926063128301,0.00108053698353227,0.00111262008239899,0.4914,1,10,2
"side_area",8497492354.13591,18111461421.9885,6611402478.78472,0.2558,1,10,2
"top_blue_yellow_mean",0.49616693026168,0.648693045484682,0.660257641076573,0.2749,1,10,2
"top_saturation_mean",5.560472072778,10.9642688976343,4.73781297427907,0.2615,1,10,2
"side_height",93267.1024392051,360816.704446645,46403.9072675162,0.1864,1,10,3
"side_width",11249.2797054191,40522.4663600379,20256.8720698982,0.1562,1,10,3
"side_solidity",0.00237770819740316,0.000790613026539454,0.00105180207372506,0.5634,1,10,3
"side_area",0.0297477305368244,28056732368.2897,6811925412.98126,0,1,10,3
"top_blue_yellow_mean",0.284627842544661,0.78227016569576,0.72932360709351,0.1585,1,10,3
"top_saturation_mean",4.98026297259577,4.12562398077974,4.85016469825963,0.3569,1,10,3
"side_height",124284.512089916,413016.77227761,45039.9173390376,0.2134,1,10,4
"side_width",11694.2790959362,58534.0507403121,21301.4868653355,0.1278,1,10,4
"side_solidity",0.00143552867955587,0.000576583280589505,0.00102848575095027,0.4721,1,10,4
"side_area",7490269535.09703,24287658583.9361,6839914887.42965,0.194,1,10,4
"top_blue_yellow_mean",0.685922508524914,0.607308009320704,0.839776378959296,0.3216,1,10,4
"top_saturation_mean",9.93203526033128,4.93539850151231,5.16493276883196,0.4958,1,10,4
"side_height",59977.3175068225,487169.265508325,43702.2956976244,0.1015,1,10,5
"side_width",8133.86666327423,52666.9238226692,22778.034523867,0.0973,1,10,5
"side_solidity",0.00164048506057862,0.000901311815026367,0.00106044268368328,0.4554,1,10,5
"side_area",3370318715.42786,40186036902.5753,8480481402.17289,0.0648,1,10,5
"top_blue_yellow_mean",0.586772432426785,0.451741862241798,0.8462709068063,0.3113,1,10,5
"top_saturation_mean",6.18936528522033,5.97291900488019,5.27374352324431,0.355,1,10,5
"side_height",136510.425425714,413193.804582239,46333.3959057075,0.229,1,10,6
"side_width",12929.4372459945,56872.2464644779,22694.9372751009,0.1398,1,10,6
"side_solidity",0.00190576818786619,0.000854448140122074,0.00113433814422244,0.4893,1,10,6
"side_area",5387324760.83183,28342567881.7415,7699403759.67322,0.13,1,10,6
"top_blue_yellow_mean",0.571393724013025,0.489386074784349,0.796804385422331,0.3076,1,10,6
"top_saturation_mean",5.95849989785433,5.57010496491319,5.47134553423996,0.3505,1,10,6
"side_height",0.000293221487396359,622153.801035921,55615.5781382351,0,1,20,2
"side_width",0,79076.614731178,25436.8176973696,0,1,20,2
"side_solidity",0.00104864423879977,0.00138566902879387,0.000955713108473373,0.3093,1,20,2
"side_area",0,66105777032.838,11457839265.1566,0,1,20,2
"top_blue_yellow_mean",0.800574547304421,0.410800534660599,1.46987088227156,0.2986,1,20,2
"top_saturation_mean",3.49673512437078,8.01907437740185,8.08086101944366,0.1784,1,20,2
"side_height",84931.6517370444,362284.427389512,55960.513932926,0.1688,1,20,3
"side_width",6393.95004795582,64977.7039050862,26759.6403811345,0.0652,1,20,3
"side_solidity",0.00157944909067074,0.00061565091102693,0.00105692186318235,0.4857,1,20,3
"side_area",9369479173.8959,44349497572.8954,11356741204.5331,0.144,1,20,3
"top_blue_yellow_mean",0.647757392406958,0.578510329431473,0.99956407802243,0.291,1,20,3
"top_saturation_mean",6.75653952266074,3.06886483516274,6.89256719354205,0.4041,1,20,3
"side_height",105121.73566347,403490.175339462,56749.7898971409,0.1859,1,20,4
"side_width",10966.7201782099,63595.5266357351,27610.2978876859,0.1073,1,20,4
"side_solidity",0.00144339495019318,0.000873598199223552,0.000985001771246869,0.4371,1,20,4
"side_area",13292376334.6889,45784100345.6707,11984264698.1219,0.1871,1,20,4
"top_blue_yellow_mean",0.584108367898381,0.651139015039512,1.17722107801092,0.2421,1,20,4
"top_saturation_mean",6.07081772950994,3.86097116178178,7.51779411936169,0.3479,1,20,4
"side_height",65632.2004990264,456565.590411492,60566.4908285706,0.1126,1,20,5
"side_width",11835.4825079149,72183.3411445271,26067.256937377,0.1075,1,20,5
"side_solidity",0.00153702420944074,0.000945595227160758,0.000979047263981148,0.444,1,20,5
"side_area",13476141487.6727,48944825519.0059,11136733867.2704,0.1832,1,20,5
"top_blue_yellow_mean",0.810667590269532,0.543967431443174,1.13296125200723,0.3259,1,20,5
"top_saturation_mean",7.31584702329082,5.37841882436548,7.317685873921,0.3656,1,20,5
"side_height",73355.6498828548,395144.481950232,55000.7884243203,0.1401,1,20,6
"side_width",12804.3959007927,64884.4438129807,26904.4414983821,0.1224,1,20,6
"side_solidity",0.00124981970522347,0.000890926027715959,0.000951142889755258,0.4042,1,20,6
"side_area",11861180402.6529,43447104036.4016,10475549364.2715,0.1803,1,20,6
"top_blue_yellow_mean",0.813357711783531,0.489845044831048,1.10819556297529,0.3373,1,20,6
"top_saturation_mean",7.22799714644725,4.90639406365507,7.18492144276396,0.3741,1,20,6
"side_height",68983.8885137808,391407.049322361,58669.6292643459,0.1329,1,30,2
"side_width",0,59256.0990001085,25238.098473115,0,1,30,2
"side_solidity",0.000647603780567415,0.00122403858968399,0.000801153393291359,0.2423,1,30,2
"side_area",6454199995.88544,29376528849.7819,10889540858.572,0.1381,1,30,2
"top_blue_yellow_mean",0.510344506492048,0.69178758335738,1.35732587784002,0.1994,1,30,2
"top_saturation_mean",8.69510401134678,7.45281783504581,9.25993280598539,0.3422,1,30,2
"side_height",8395.51750005773,397049.467253595,63760.4936996824,0.0179,1,30,3
"side_width",8933.81034291948,56840.1141862732,28295.2580385672,0.095,1,30,3
"side_solidity",0.00122614729785577,0.000752371560473235,0.00102845104152829,0.4078,1,30,3
"side_area",3724988299.69084,34353232949.1804,11048537845.8762,0.0758,1,30,3
"top_blue_yellow_mean",0.900165615274206,0.554064192221633,1.1841065486006,0.3412,1,30,3
"top_saturation_mean",9.05913936233669,3.99012110636221,8.73902206932453,0.4158,1,30,3
"side_height",113131.257338248,321605.4149929,57178.8394199443,0.23,1,30,4
"side_width",11451.4912306245,51425.4884028185,25828.2121625698,0.1291,1,30,4
"side_solidity",0.00097627562911908,0.000840794422723196,0.000815908310009917,0.3708,1,30,4
"side_area",15393971792.421,39793539999.6938,11472843495.7012,0.2309,1,30,4
"top_blue_yellow_mean",0.976741450966781,0.545696175978212,1.2864112248926,0.3477,1,30,4
"top_saturation_mean",10.4712723958131,5.04588744551091,8.91551043478623,0.4286,1,30,4
"side_height",121631.366621387,368553.36663862,60938.9880355021,0.2207,1,30,5
"side_width",20579.8956582906,49405.728997566,27149.8135577696,0.2119,1,30,5
"side_solidity",0.00118173739205757,0.000847208917334688,0.000905755471823076,0.4027,1,30,5
"side_area",19758408882.3796,38091339707.748,12005308356.3417,0.2828,1,30,5
"top_blue_yellow_mean",0.792250520476184,0.641301372342994,1.31223936158574,0.2885,1,30,5
"top_saturation_mean",9.74686072160446,5.47025542127613,8.57877329976148,0.4096,1,30,5
"side_height",99685.6422971999,327456.330925706,59743.7326274712,0.2047,1,30,6
"side_width",17866.322871046,47895.881724298,28053.6379044592,0.1904,1,30,6
"side_solidity",0.00131690808283256,0.000765809649589962,0.000897410804199676,0.4419,1,30,6
"side_area",15458621294.6629,35772929563.0461,11492581424.8122,0.2465,1,30,6
"top_blue_yellow_mean",0.804885190713141,0.605054512153625,1.25680659483864,0.3018,1,30,6
"top_saturation_mean",10.1113432940966,3.85815067507611,8.49923335383079,0.45,1,30,6
"side_height",247909.178831537,357984.719222731,69229.2397254352,0.3672,1,40,2
"side_width",19186.7949033039,57373.1783659315,24162.4788463289,0.1905,1,40,2
"side_solidity",0.00208383101613604,0.0010734978632032,0.00100257095557057,0.5009,1,40,2
"side_area",28217166182.9154,27270734540.1979,11658065581.738,0.4202,1,40,2
"top_blue_yellow_mean",1.32419492275417,0.548787266505191,1.27008264792511,0.4213,1,40,2
"top_saturation_mean",15.2674905394044,2.90409932303385,9.01291563944233,0.5616,1,40,2
"side_height",107812.173516396,426369.552336866,64154.4443463922,0.1802,1,40,3
"side_width",9464.76687806963,65372.2010529252,25624.9852829883,0.0942,1,40,3
"side_solidity",0.00134713325726203,0.000913771061339629,0.000872495079109242,0.4299,1,40,3
"side_area",11264877001.5974,46608733869.8512,12270021391.4486,0.1606,1,40,3
"top_blue_yellow_mean",1.30133902003683,0.601554723081594,1.1639060047511,0.4243,1,40,3
"top_saturation_mean",12.3760264101937,5.52697253892285,7.67659846353727,0.4838,1,40,3
"side_height",137709.988560055,324230.014090968,64279.5253121355,0.2617,1,40,4
"side_width",14513.4235301804,54083.6400732743,25383.9266554171,0.1544,1,40,4
"side_solidity",0.00162996249845809,0.000745783258304121,0.000878090781298363,0.5009,1,40,4
"side_area",14266984163.1463,33307156474.0857,11292761283.6352,0.2424,1,40,4
"top_blue_yellow_mean",1.17433408020004,0.561074351299073,1.33620000189563,0.3823,1,40,4
"top_saturation_mean",12.0635640479434,4.03377373636411,9.14200276691797,0.478,1,40,4
"side_height",143851.539797629,306298.880501316,64480.5266010022,0.2795,1,40,5
"side_width",12851.2965715643,52445.432645197,25300.7681002021,0.1419,1,40,5
"side_solidity",0.00186933816765799,0.000784701703268351,0.000896110014107985,0.5266,1,40,5
"side_area",13367418712.6646,31509904169.4963,10817590631.1556,0.24,1,40,5
"top_blue_yellow_mean",1.50391749804182,0.572117184686397,1.28466634075456,0.4475,1,40,5
"top_saturation_mean",12.3947818508655,3.93277143820194,8.31390839943843,0.503,1,40,5
"side_height",140642.656832769,360401.971033537,65575.7574737165,0.2482,1,40,6
"side_width",16497.4413952178,54484.1286586379,26500.5166487716,0.1692,1,40,6
"side_solidity",0.0017115049911324,0.000821349659259653,0.000879309879401665,0.5016,1,40,6
"side_area",15986621505.6443,37823565044.754,11309828212.1292,0.2455,1,40,6
"top_blue_yellow_mean",1.3132463968684,0.657944134551657,1.25582304433299,0.407,1,40,6
"top_saturation_mean",12.5016438245193,5.22174578596998,8.17541929363288,0.4827,1,40,6
"side_height",151263.5287162,384021.69457055,69975.040624519,0.2499,1,50,2
"side_width",11642.428228612,74242.0033164012,29329.0755507849,0.1011,1,50,2
